"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","808","Check the landing page accessibility","Tests","2026-08-16","failed","2026-08-16","TestAccessibility","test_Accessibility","",""
"","269","Unsuccessful login","Tests","2026-08-16","passed","2026-08-16","TestLogin","test_Login","",""
"","0","Unsuccessful login","Tests","2026-08-16","broken","2026-08-16","TestLogin","test_Login","",""
"","3289","Visual check of the broken Home page","Tests","2026-08-16","failed","2026-08-16","TestVisual","test_Visual","",""
"","387","Visual check of the Landing page","Tests","2026-08-16","skipped","2026-08-16","TestVisual","test_Visual","",""
"","0","Contact list displays wright names","Tests","2026-08-16","broken","2026-08-16","TestContactList","test_ContactList","",""
"","0","Contact list with 1 contact","Tests","2026-08-16","broken","2026-08-16","TestContactList","test_ContactList","",""
"","0","Login logo is visible","Tests","2026-08-16","broken","2026-08-16","TestLandingPage","test_LandingPage","",""
"","271","Login logo is visible","Tests","2026-08-16","passed","2026-08-16","TestLandingPage","test_LandingPage","",""
"","10511","Contact list with 1 contact","Tests","2026-08-16","passed","2026-08-16","TestContactList","test_ContactList","",""
"","843","Contact list displays wright names","Tests","2026-08-16","broken","2026-08-16","TestContactList","test_ContactList","",""
"","0","Unsuccessful login","Tests","2026-08-16","broken","2026-08-16","TestLogin","test_Login","",""
"","10034","Manually open new tab","Tests","2026-08-16","broken","2026-08-16","TestLogin","test_SocialMediaLinks","",""
"","0","Unsuccessful login","Tests","2026-08-16","broken","2026-08-16","TestLogin","test_Login","",""
"","670","Check the home page accessibility","Tests","2026-08-16","failed","2026-08-16","TestAccessibility","test_Accessibility","",""
"","0","Successful login","Tests","2026-08-16","broken","2026-08-16","TestLogin","test_Login","",""
"","490","Visual check of the Home page","Tests","2026-08-16","skipped","2026-08-16","TestVisual","test_Visual","",""
"","0","Navigate to iframe","Tests","2026-08-16","broken","2026-08-16","TestLogin","test_SocialMediaLinks","",""
"","0","Unsuccessful login","Tests","2026-08-16","broken","2026-08-16","TestLogin","test_Login","",""
"","0","Twitter link","Tests","2026-08-16","broken","2026-08-16","TestLogin","test_SocialMediaLinks","",""
"","415","Successful login","Tests","2026-08-16","passed","2026-08-16","TestLogin","test_Login","",""
"","2291","Visual check of the Home page after burger button click","Tests","2026-08-16","skipped","2026-08-16","TestVisual","test_Visual","",""
"","506","Unsuccessful login","Tests","2026-08-16","passed","2026-08-16","TestLogin","test_Login","",""
"","5988","Check the latest notification email subject","Tests","2026-08-16","broken","2026-08-16","TestEmailReader","test_EmailReader","",""
"","1988","Navigate to iframe","Tests","2026-08-16","passed","2026-08-16","TestLogin","test_SocialMediaLinks","",""
"","10064","Visual check of the broken Home page after burger button click","Tests","2026-08-16","broken","2026-08-16","TestVisual","test_Visual","",""
"","0","Manually open new tab","Tests","2026-08-16","broken","2026-08-16","TestLogin","test_SocialMediaLinks","",""
"","184","Unsuccessful login","Tests","2026-08-16","passed","2026-08-16","TestLogin","test_Login","",""
"","32785","Twitter link","Tests","2026-08-16","broken","2026-08-16","TestLogin","test_SocialMediaLinks","",""
"","197","Unsuccessful login","Tests","2026-08-16","passed","2026-08-16","TestLogin","test_Login","",""
